HeapEnqueue	HeapDequeue	ArrayEnqueue	ArrayDequeue
0.499	0.538	1.007	6.06
1.33	0.566	0.596	6.196
0.787	0.566	0.552	5.879
1.194	0.672	0.57	6.308
0.907	0.557	0.594	6.637
0.48	0.556	0.587	6.081
0.599	0.809	0.547	6.22
1.303	0.506	0.542	5.939
1.372	0.856	0.547	5.921
0.524	0.6658333333333333	0.603	6.772
0.538	0.597	0.6	7.161333333333334
0.922	0.534	0.577	7.122
0.8006666666666665	0.693	0.565	9.898
0.483	0.612	0.528	7.316
0.7085277777777779	0.969	0.552	5.69
0.672	1.663	0.54	6.884
0.8165	0.905	0.57	7.971
0.557	1.281	0.549	7.167
0.971	1.6011944444444446	0.536	9.279
0.551	1.477	0.577	5.882
0.509	1.371	0.567	8.05
0.452	1.2536203703703703	0.589	7.135
0.921	0.675	0.575	7.336
0.529	1.158	0.57	6.366
0.962	1.239527777777778	0.543	7.821
0.552	0.766	0.543	7.057333333333333
0.7188333333333334	0.735	0.574	7.217
0.898	1.193	0.574	7.147
0.907	1.018	0.575	6.457
0.465	1.1321666666666668	0.574	8.419
0.846	0.773	0.555	6.895
0.515	1.156	0.564	7.145
0.944	1.918	0.564	6.163
0.96	1.529	0.569	7.232
0.723	0.826	0.622	6.748
0.523	1.819	0.544	7.09
0.7336666666666667	0.76	0.565	7.601
0.513	1.1710277777777778	0.535	8.32
0.814	1.6451666666666667	0.57	7.863499999999999
0.869	1.124	0.559	8.194
1.452	0.852	0.589	7.965
0.432	1.327	0.584	8.011
0.953	0.936	0.551	9.028
0.919	0.934	0.55	7.154
1.0508333333333333	0.987	0.5704999999999999	8.902
0.496	2.105	0.623	10.514
1.469	1.946	0.571	8.722
2.036	0.677	0.544	7.88
1.465	1.39	0.571	9.015
1.1441666666666668	1.489	0.625	7.852
0.907	1.977	0.577	7.038
0.469	1.349	0.571	7.5281666666666665
0.519	1.199	0.589	6.452
0.65	1.475	0.554	6.905
0.487	2.367	0.56	7.907
0.455	2.857	0.627	7.837
1.063	2.335	0.543	8.664
0.8366666666666666	1.72	0.533	7.138
0.57	1.048	0.567	7.566
0.81	2.102	0.668	6.839
0.6002777777777778	1.356	0.572	8.046
0.434	1.146	0.548	7.84
0.488	1.721	0.583	7.273
0.463	1.91	0.542	7.41
0.482	1.162	0.578	7.531666666666666
0.453	2.161	0.577	6.754
0.5465	1.742	0.542	7.604
0.491	0.686	0.553	8.309
0.912	1.522	0.523	8.12
0.478	0.786	0.566	8.791
0.942	1.0135	0.533	6.652
1.33	0.938	0.552	7.31
0.494	1.686	0.565	7.296
0.852	0.463	0.54	7.152
0.888	0.937	0.541	6.703
0.449	1.738	0.556	6.749
0.513	1.826	0.558	7.057166666666667
0.437	2.087	0.544	6.606
0.6675	1.17	0.5595	8.253
0.935	1.15	0.57	6.88
0.912	1.281	0.586	8.432
0.759	2.432	0.543	7.973
1.415	1.08	0.586	8.795
0.84	1.585	0.597	7.75
1.588	1.503	0.628	7.129
0.846	0.878	0.576	7.76
0.821	1.96	0.621	8.471
0.456	1.5254999999999999	0.574	8.456
0.6551666666666667	1.446	0.629	8.536333333333333
0.858	1.788	0.556	9.278
0.472	1.578	0.559	9.132
0.478	1.494	0.566	8.121
0.656	1.607	0.567	9.229
0.458	1.655	0.59	8.417
0.806	0.78	0.582	8.982
0.864	0.804	0.56	8.273
0.7185	0.924	0.57	7.321
0.437	1.01	0.558	11.395
0.522	1.082	0.576	8.541
1.224	1.1056666666666668	0.556	8.556
1.286	0.979	0.583	8.7975
1.593	1.442	0.53	7.184
0.823	1.197	0.589	7.6
0.517	1.057	0.584	9.509
0.697	1.139	0.574	9.698
0.457	2.256	0.503	7.622
0.5743333333333335	1.567	0.543	8.667
0.452	1.899	0.538	8.439
0.523	1.076	0.535	6.975
0.8	1.774	0.554	8.744
0.692	1.4363333333333337	0.528	7.903
1.634	1.445	0.54	9.665
0.873	1.185	0.518	8.286333333333333
1.0335	1.239	0.618	7.92
1.121	2.029	0.563	8.067
0.486	1.543	0.536	7.419
0.6755833333333334	0.624	0.528	8.413
0.535	1.261	0.52	7.165
0.441	1.232	0.561	7.997
0.437	0.993	0.548	8.514
0.5225000000000001	2.104	0.665	7.891
0.418	1.336	0.519	9.025
0.866	1.739	0.502	9.348
0.438	1.406	0.533	16.426
0.813	2.403	0.491	10.595
0.424	1.688	0.52	9.578
0.411	0.658	0.499	9.293
0.6681666666666667	1.696	0.502	9.248
0.894	1.376	0.5338333333333333	10.06
0.45	1.1661388888888888	0.559	8.614
1.017	1.5808333333333333	0.603	8.466
0.463	1.074	0.52	8.211
0.842	0.612	0.544	8.836
0.419	1.621	0.563	9.648
0.742	2.019	0.542	16.275
0.458	1.563	0.553	7.22
0.7023333333333333	1.022	0.588	8.463
0.788	1.274	0.589	7.245
0.6128888888888889	1.123	0.579	9.137
0.435	1.2466666666666668	0.515	7.546
0.852	1.18	0.559	8.103
0.442	1.873	0.662	7.582
0.469	1.008	0.552	8.777
1.564	0.845	0.537	8.338
0.9	1.134	0.588	8.125
1.92	2.482	0.565	11.257
1.686	1.928	0.629	20.766
0.462	2.398	0.574	10.06
1.445	4.112	0.529	12.636
0.821	2.2733333333333334	0.49	23.266
0.468	1.319	0.533	9.781
1.472	2.097	0.623	7.847
0.938	1.786	0.545	9.317
0.53	0.861	0.538	9.767
1.173	2.503	0.558	10.17
0.419	2.335	0.549	10.178
0.811	1.241	0.585	9.809666666666667
0.8033333333333333	2.156	0.551	8.686
0.8	1.021	0.528	7.358
1.174	3.571	0.539	12.699
0.443	4.009	0.568	9.162
1.101	3.092	0.536	9.884
0.438	2.503	0.645	9.924
0.518	1.282	0.557	8.921
0.479	2.592	0.551	8.713
0.444	3.6039999999999996	0.529	23.421
0.448	2.085	0.614	28.390833333333337
0.6823333333333332	1.216	0.594	31.393
0.428	1.6085	0.642	22.593
0.5994999999999999	0.938	0.589	18.366472222222225
0.577	1.017	0.594	9.742
0.444	0.791	0.573	9.449
1.0176666666666665	1.214	0.7113333333333333	8.631
1.637	1.253	0.5818888888888888	10.203
0.991	1.181	0.586	10.447
0.739	0.455	0.495	8.297
1.174	1.479	0.532	8.751
0.9603333333333334	0.733	0.571	8.925
0.902	0.898	0.504	13.371
0.469	0.575	0.542	9.674
1.487	1.124	0.531	8.013
0.431	0.749	0.5	8.419
1.159	1.11	0.513	10.176
0.9311666666666666	0.579	0.556	10.108
0.902	1.374	0.587	10.892
0.446	1.021	0.532	9.638
1.162	1.1158333333333335	0.535	11.771
1.06	1.844	0.519	9.322
1.173	0.865	0.563	16.938
0.449	1.012	0.56	9.14
0.826	0.985	0.554	11.172
0.447	1.823	0.511	9.393
0.947	1.041	0.55	8.766
0.399	1.021	0.516	9.184
0.5278333333333333	1.01	0.546	9.356
0.4	0.52	0.544	8.035
0.488	0.56	0.535	9.339
0.486	1.414	0.532	8.655
0.508	0.878	0.586	9.448
0.407	0.736	0.533	15.058
1.267	1.119	0.598	10.474
0.806	0.587	0.568	9.389
1.684	0.875	0.494	9.942
0.434	0.834	0.518	9.934
0.872	0.76	0.554	7.932
1.283	0.75	0.559	8.131
0.9833333333333334	0.609	0.5443333333333334	7.873
0.439	1.269	0.554	9.041
1.654	1.034	0.543	10.444
1.218	0.705	0.538	13.761
1.524	0.821	0.557	8.062
0.879	1.166	0.58	9.548
1.236	1.319	0.677	10.637
0.79	0.933	0.534	9.093
0.481	0.495	0.558	8.313
0.795	0.964	0.524	8.086
0.7045	0.683	0.56	9.213
0.43	0.616	0.523	8.981
